"","Age","Cause","Contribution","Period1","Period2","Sex","Country","Sources","e01","e02","Cause.name","Country.name","dif","e01","e02","dif"
"24445",0,2,0.179023239961865,"1995-2000","2000-2005",1,2360,"CEPAL2004",66.4581351210429,67.3886024639503,"Infectious","PARAGUAY",0.930467342907377,70.2665488987639,71.0962170630711,0.82966816430725
"24697",0,2,0.149987297548647,"2000-2005","2005-2010",1,2360,"CEPAL2004",67.3886024639503,68.2560683247157,"Infectious","PARAGUAY",0.867465860765478,71.0962170630711,71.8673141258254,0.771097062754308
"24949",0,2,0.0545602133353656,"2005-2010","2010-2015",1,2360,"CEPAL2004",68.2560683247157,69.0746558434311,"Infectious","PARAGUAY",0.818587518715319,71.8673141258254,72.5880432819717,0.720729156146277
"26209",0,2,0.116137223583796,"1990-1995","1995-2000",1,2370,"CEPAL2004",63.1312467234015,64.4865845533734,"Infectious","PERU",1.35533782997192,67.2323011386433,68.5658378951146,1.33353675647133
"26461",0,2,0.00064166246959634,"1995-2000","2000-2005",1,2370,"CEPAL2004",64.4865845533734,65.7367737713208,"Infectious","PERU",1.25018921794745,68.5658378951146,69.7899700581374,1.2241321630228
"26713",0,2,-0.0239415337742399,"2000-2005","2005-2010",1,2370,"CEPAL2004",65.7367737713208,66.8974979094602,"Infectious","PERU",1.16072413813932,69.7899700581374,70.9108463018354,1.12087624369796
"26965",0,2,0.0590518056325852,"2005-2010","2010-2015",1,2370,"CEPAL2004",66.8974979094602,67.9557043220739,"Infectious","PERU",1.05820641261376,70.9108463018354,71.9161633992214,1.00531709738598
"28225",0,2,0.40322201459208,"1990-1995","1995-2000",1,2170,"CEPAL2004",63.8560645993961,65.2498558937895,"Infectious","DOMINICAN REPUBLIC",1.39379129439342,67.4800208003955,68.9789695451914,1.49894874479592
"28477",0,2,0.20396142071506,"1995-2000","2000-2005",1,2170,"CEPAL2004",65.2498558937895,66.4911292368851,"Infectious","DOMINICAN REPUBLIC",1.2412733430956,68.9789695451914,70.3005472385439,1.32157769335247
"28729",0,2,0.0758365680646585,"2000-2005","2005-2010",1,2170,"CEPAL2004",66.4911292368851,67.5916966744677,"Infectious","DOMINICAN REPUBLIC",1.10056743758255,70.3005472385439,71.4710922894015,1.17054505085758
