"","V1","V2","V3"
"newF","2120","1999","0"
"newF","2120","2000","0"
"newF","2120","2001","0"
"newF","2120","2002","0"
"newF","2120","2003","0"
"newF","2120","2004","0"
"newF","2130","1997","0"
"newF","2130","1998","0"
"newF","2130","1999","0"
"newF","2130","2000","0"
"newF","2130","2001","0"
"newF","2130","2002","0"
"newF","2130","2003","0"
"newF","2130","2004","0"
"newF","2140","1997","0"
"newF","2140","1998","0"
"newF","2140","1999","0"
"newF","2140","2000","0"
"newF","2140","2001","0"
"newF","2140","2002","0"
"newF","2140","2003","0"
"newF","2140","2004","0"
"newF","2150","2001","0"
"newF","2150","2002","0"
"newF","2150","2003","0"
"newF","2150","2004","0"
"newF","2160","2001","0"
"newF","2160","2002","0"
"newF","2160","2003","0"
"newF","2160","2004","0"
"newF","2170","1996","0"
"newF","2170","1997","0"
"newF","2170","1998","0"
"newF","2170","1999","0"
"newF","2170","2000","0"
"newF","2170","2001","0"
"newF","2170","2002","0"
"newF","2170","2003","0"
"newF","2170","2004","0"
"newF","2180","1997","0"
"newF","2180","1998","0"
"newF","2180","1999","0"
"newF","2180","2000","0"
"newF","2180","2001","0"
"newF","2180","2002","0"
"newF","2180","2003","0"
"newF","2180","2004","0"
"newF","2190","1997","0"
"newF","2190","1998","0"
"newF","2190","1999","0"
"newF","2190","2000","0"
"newF","2190","2001","0"
"newF","2190","2002","0"
"newF","2190","2003","0"
"newF","2190","2004","0"
"newF","2210","2001","0"
"newF","2210","2002","0"
"newF","2210","2003","0"
"newF","2210","2004","0"
"newF","2230","2001","0"
"newF","2230","2002","0"
"newF","2230","2003","0"
"newF","2230","2004","0"
"newF","2240","2000","0"
"newF","2240","2001","0"
"newF","2240","2002","0"
"newF","2240","2003","0"
"newF","2240","2004","0"
"newF","2260","2001","0"
"newF","2260","2002","0"
"newF","2260","2003","0"
"newF","2260","2004","0"
"newF","2270","1997","0"
"newF","2270","1999","0"
"newF","2270","2001","0"
"newF","2270","2002","0"
"newF","2270","2003","0"
"newF","2270","2004","0"
"newF","2290","2000","0"
"newF","2290","2001","0"
"newF","2290","2002","0"
"newF","2290","2003","0"
"newF","2290","2004","0"
"newF","2300","2000","0"
"newF","2300","2001","0"
"newF","2300","2002","0"
"newF","2300","2003","0"
"newF","2300","2004","0"
"newF","2310","1998","0"
"newF","2310","1999","0"
"newF","2310","2000","0"
"newF","2310","2001","0"
"newF","2310","2002","0"
"newF","2310","2003","0"
"newF","2310","2004","0"
"newF","2320","1995","0"
"newF","2320","1996","0"
"newF","2320","1997","0"
"newF","2320","1998","0"
"newF","2320","1999","0"
"newF","2320","2000","0"
"newF","2320","2001","0"
"newF","2320","2002","0"
"newF","2320","2003","0"
"newF","2320","2004","0"
"newF","2330","1988","0"
"newF","2330","1989","0"
"newF","2330","1990","0"
"newF","2330","1991","0"
"newF","2330","1992","0"
"newF","2330","1993","0"
"newF","2330","1994","0"
"newF","2330","1995","0"
"newF","2330","1996","0"
"newF","2330","1997","0"
"newF","2330","1998","0"
"newF","2330","1999","0"
"newF","2330","2000","0"
"newF","2340","1997","0"
"newF","2340","1998","0"
"newF","2340","1999","0"
"newF","2340","2000","0"
"newF","2340","2001","0"
"newF","2340","2002","0"
"newF","2340","2003","0"
"newF","2340","2004","0"
"newF","2350","1998","0"
"newF","2350","1999","0"
"newF","2350","2000","0"
"newF","2350","2001","0"
"newF","2350","2002","0"
"newF","2350","2003","0"
"newF","2350","2004","0"
"newF","2360","1996","0"
"newF","2360","1997","0"
"newF","2360","1998","0"
"newF","2360","1999","0"
"newF","2360","2000","0"
"newF","2360","2001","0"
"newF","2360","2002","0"
"newF","2360","2003","0"
"newF","2360","2004","0"
"newF","2370","1999","0"
"newF","2370","2000","0"
"newF","2370","2001","0"
"newF","2370","2002","0"
"newF","2370","2003","0"
"newF","2370","2004","0"
"newF","2380","1999","0"
"newF","2380","2000","0"
"newF","2380","2001","0"
"newF","2380","2002","0"
"newF","2380","2003","0"
"newF","2380","2004","0"
"newF","2385","1996","2"
"newF","2385","1997","2"
"newF","2385","1998","0"
"newF","2385","1999","0"
"newF","2385","2000","0"
"newF","2385","2001","0"
"newF","2385","2002","0"
"newF","2385","2003","0"
"newF","2385","2004","0"
"newF","2400","1996","0"
"newF","2400","1997","0"
"newF","2400","1998","0"
"newF","2400","1999","0"
"newF","2400","2000","0"
"newF","2400","2001","0"
"newF","2400","2002","0"
"newF","2400","2003","0"
"newF","2400","2004","0"
"newF","2420","2000","0"
"newF","2420","2001","0"
"newF","2420","2002","0"
"newF","2420","2003","0"
"newF","2420","2004","0"
"newF","2430","1995","0"
"newF","2430","1996","0"
"newF","2430","1997","0"
"newF","2430","1998","0"
"newF","2430","1999","0"
"newF","2430","2000","0"
"newF","2430","2001","0"
"newF","2430","2002","0"
"newF","2430","2003","0"
"newF","2430","2004","0"
"newF","2440","1999","0"
"newF","2440","2000","0"
"newF","2440","2001","0"
"newF","2440","2002","0"
"newF","2440","2003","0"
"newF","2440","2004","0"
"newF","2445","1996","0"
"newF","2445","1997","0"
"newF","2445","1998","0"
"newF","2445","1999","0"
"newF","2445","2000","0"
"newF","2445","2001","0"
"newF","2445","2002","0"
"newF","2445","2003","0"
"newF","2445","2004","0"
"newF","2450","1999","0"
"newF","2450","2000","0"
"newF","2450","2001","0"
"newF","2450","2002","0"
"newF","2450","2003","0"
"newF","2450","2004","0"
"newF","2455","1999","0"
"newF","2455","2000","0"
"newF","2455","2001","0"
"newF","2455","2002","0"
"newF","2455","2003","0"
"newF","2455","2004","0"
"newF","2460","1997","0"
"newF","2460","1998","0"
"newF","2460","1999","0"
"newF","2460","2000","0"
"newF","2460","2001","0"
"newF","2460","2002","0"
"newF","2460","2003","0"
"newF","2460","2004","0"
"newF","2470","1996","0"
"newF","2470","1997","0"
"newF","2470","1998","0"
"newF","2470","1999","0"
"newF","2470","2000","0"
"newF","2470","2001","0"
"newF","2470","2002","0"
"newF","2470","2003","0"
"newF","2470","2004","0"
"newF","2005","2005","0"
"newF","2005","2006","0"
"newF","2005","2008","0"
"newF","2005","2009","0"
"newF","2005","2010","0"
"newF","2005","2011","0"
"newF","2005","2012","0"
"newF","2005","2013","0"
"newF","2005","2014","0"
"newF","2010","2005","0"
"newF","2010","2006","0"
"newF","2010","2007","0"
"newF","2010","2008","0"
"newF","2010","2009","0"
"newF","2010","2012","0"
"newF","2010","2013","0"
"newF","2010","2014","0"
"newF","2020","2005","0"
"newF","2020","2006","0"
"newF","2020","2007","0"
"newF","2020","2008","0"
"newF","2020","2009","0"
"newF","2020","2010","0"
"newF","2020","2011","0"
"newF","2020","2012","0"
"newF","2020","2013","0"
"newF","2020","2014","0"
"newF","2025","2005","0"
"newF","2025","2006","0"
"newF","2025","2007","0"
"newF","2025","2008","0"
"newF","2025","2009","0"
"newF","2025","2010","0"
"newF","2025","2011","0"
"newF","2025","2012","0"
"newF","2025","2013","0"
"newF","2025","2014","0"
"newF","2030","2005","0"
"newF","2030","2006","0"
"newF","2030","2007","0"
"newF","2030","2008","0"
"newF","2030","2009","0"
"newF","2030","2010","0"
"newF","2030","2011","0"
"newF","2030","2012","0"
"newF","2030","2013","0"
"newF","2040","2005","0"
"newF","2040","2006","0"
"newF","2040","2007","0"
"newF","2040","2008","0"
"newF","2040","2009","0"
"newF","2040","2010","0"
"newF","2040","2011","0"
"newF","2040","2012","0"
"newF","2040","2013","0"
"newF","2045","2005","0"
"newF","2045","2006","0"
"newF","2045","2007","0"
"newF","2045","2008","0"
"newF","2045","2009","0"
"newF","2045","2010","0"
"newF","2045","2011","0"
"newF","2045","2012","0"
"newF","2045","2013","0"
"newF","2045","2014","0"
"newF","2050","2005","0"
"newF","2050","2006","0"
"newF","2050","2007","0"
"newF","2050","2008","0"
"newF","2050","2009","0"
"newF","2050","2010","0"
"newF","2050","2011","0"
"newF","2050","2012","0"
"newF","2050","2013","0"
"newF","2050","2014","0"
"newF","2050","2015","0"
"newF","2070","2005","0"
"newF","2070","2006","0"
"newF","2070","2007","0"
"newF","2070","2008","0"
"newF","2070","2009","0"
"newF","2070","2010","0"
"newF","2070","2011","0"
"newF","2070","2012","0"
"newF","2070","2013","0"
"newF","2070","2014","0"
"newF","2085","2006","0"
"newF","2085","2008","0"
"newF","2085","2009","0"
"newF","2085","2010","0"
"newF","2090","2005","1"
"newF","2090","2006","1"
"newF","2090","2007","1"
"newF","2090","2008","1"
"newF","2090","2009","1"
"newF","2090","2010","2"
"newF","2090","2011","2"
"newF","2110","2005","0"
"newF","2110","2006","0"
"newF","2110","2007","0"
"newF","2110","2008","0"
"newF","2110","2009","0"
"newF","2110","2010","0"
"newF","2110","2013","0"
"newF","2120","2005","0"
"newF","2120","2006","0"
"newF","2120","2007","0"
"newF","2120","2008","0"
"newF","2120","2009","0"
"newF","2120","2010","0"
"newF","2120","2011","0"
"newF","2120","2012","0"
"newF","2120","2013","0"
"newF","2120","2014","0"
"newF","2130","2005","0"
"newF","2130","2006","0"
"newF","2130","2007","0"
"newF","2130","2008","0"
"newF","2130","2009","0"
"newF","2130","2010","0"
"newF","2130","2011","0"
"newF","2130","2012","0"
"newF","2130","2013","0"
"newF","2140","2005","0"
"newF","2140","2006","0"
"newF","2140","2007","0"
"newF","2140","2008","0"
"newF","2140","2009","0"
"newF","2140","2010","0"
"newF","2140","2011","0"
"newF","2140","2012","0"
"newF","2140","2013","0"
"newF","2140","2014","0"
"newF","2150","2005","0"
"newF","2150","2006","0"
"newF","2150","2007","0"
"newF","2150","2008","0"
"newF","2150","2009","0"
"newF","2150","2010","0"
"newF","2150","2011","0"
"newF","2150","2012","0"
"newF","2150","2013","0"
"newF","2150","2014","0"
"newF","2160","2005","0"
"newF","2160","2006","0"
"newF","2160","2007","0"
"newF","2160","2008","0"
"newF","2160","2009","0"
"newF","2160","2010","0"
"newF","2160","2011","0"
"newF","2160","2012","0"
"newF","2160","2013","0"
"newF","2160","2014","0"
"newF","2170","2005","0"
"newF","2170","2006","0"
"newF","2170","2007","0"
"newF","2170","2008","0"
"newF","2170","2009","0"
"newF","2170","2010","0"
"newF","2170","2011","0"
"newF","2170","2012","0"
"newF","2180","2005","0"
"newF","2180","2006","0"
"newF","2180","2007","0"
"newF","2180","2008","0"
"newF","2180","2009","0"
"newF","2180","2010","0"
"newF","2180","2011","0"
"newF","2180","2012","0"
"newF","2180","2013","0"
"newF","2180","2014","0"
"newF","2190","2005","0"
"newF","2190","2006","0"
"newF","2190","2007","0"
"newF","2190","2008","0"
"newF","2190","2009","0"
"newF","2190","2010","0"
"newF","2190","2011","0"
"newF","2190","2012","0"
"newF","2190","2013","0"
"newF","2210","2005","0"
"newF","2210","2006","0"
"newF","2210","2007","0"
"newF","2210","2008","0"
"newF","2210","2009","0"
"newF","2210","2010","0"
"newF","2210","2011","0"
"newF","2210","2012","0"
"newF","2210","2013","0"
"newF","2230","2005","0"
"newF","2230","2006","0"
"newF","2230","2007","0"
"newF","2230","2008","0"
"newF","2230","2009","0"
"newF","2230","2010","0"
"newF","2230","2011","0"
"newF","2230","2012","0"
"newF","2230","2013","0"
"newF","2230","2014","0"
"newF","2230","2015","0"
"newF","2240","2005","0"
"newF","2240","2006","0"
"newF","2240","2007","0"
"newF","2240","2008","0"
"newF","2240","2009","0"
"newF","2240","2010","0"
"newF","2240","2011","0"
"newF","2240","2012","0"
"newF","2240","2013","0"
"newF","2250","2005","0"
"newF","2250","2006","0"
"newF","2250","2007","0"
"newF","2250","2008","0"
"newF","2250","2009","0"
"newF","2250","2010","0"
"newF","2250","2011","0"
"newF","2250","2012","0"
"newF","2250","2013","0"
"newF","2250","2014","0"
"newF","2260","2005","0"
"newF","2260","2006","0"
"newF","2260","2007","0"
"newF","2260","2008","0"
"newF","2260","2009","0"
"newF","2260","2010","0"
"newF","2260","2011","0"
"newF","2260","2012","0"
"newF","2280","2008","0"
"newF","2280","2009","0"
"newF","2280","2010","0"
"newF","2280","2011","0"
"newF","2280","2012","0"
"newF","2280","2013","0"
"newF","2290","2005","0"
"newF","2290","2006","0"
"newF","2290","2009","0"
"newF","2290","2010","0"
"newF","2290","2011","0"
"newF","2300","2005","0"
"newF","2300","2006","0"
"newF","2300","2007","0"
"newF","2300","2008","0"
"newF","2300","2009","0"
"newF","2300","2010","0"
"newF","2300","2011","0"
"newF","2300","2013","0"
"newF","2310","2005","0"
"newF","2310","2006","0"
"newF","2310","2007","0"
"newF","2310","2008","0"
"newF","2310","2009","0"
"newF","2310","2010","0"
"newF","2310","2011","0"
"newF","2310","2012","0"
"newF","2310","2013","0"
"newF","2310","2014","0"
"newF","2320","2005","0"
"newF","2320","2006","0"
"newF","2320","2007","0"
"newF","2320","2008","0"
"newF","2320","2009","0"
"newF","2320","2010","0"
"newF","2320","2011","0"
"newF","2320","2012","0"
"newF","2320","2013","0"
"newF","2320","2014","0"
"newF","2320","2015","0"
"newF","2340","2005","0"
"newF","2340","2006","0"
"newF","2340","2007","0"
"newF","2340","2008","0"
"newF","2340","2009","0"
"newF","2340","2010","0"
"newF","2340","2011","0"
"newF","2340","2012","0"
"newF","2340","2013","0"
"newF","2350","2005","0"
"newF","2350","2006","0"
"newF","2350","2007","0"
"newF","2350","2008","0"
"newF","2350","2009","0"
"newF","2350","2010","0"
"newF","2350","2011","0"
"newF","2350","2012","0"
"newF","2350","2013","0"
"newF","2350","2014","0"
"newF","2360","2005","0"
"newF","2360","2006","0"
"newF","2360","2007","0"
"newF","2360","2008","0"
"newF","2360","2009","0"
"newF","2360","2010","0"
"newF","2360","2011","0"
"newF","2360","2012","0"
"newF","2360","2013","0"
"newF","2360","2014","0"
"newF","2370","2005","0"
"newF","2370","2006","0"
"newF","2370","2007","0"
"newF","2370","2008","0"
"newF","2370","2009","0"
"newF","2370","2010","0"
"newF","2370","2011","0"
"newF","2370","2012","0"
"newF","2370","2013","0"
"newF","2370","2014","0"
"newF","2380","2005","0"
"newF","2380","2006","0"
"newF","2380","2007","0"
"newF","2380","2008","0"
"newF","2380","2009","0"
"newF","2380","2010","0"
"newF","2380","2011","0"
"newF","2380","2012","0"
"newF","2380","2013","0"
"newF","2380","2014","0"
"newF","2385","2005","0"
"newF","2385","2006","0"
"newF","2385","2007","0"
"newF","2385","2008","0"
"newF","2385","2009","0"
"newF","2385","2010","0"
"newF","2385","2011","0"
"newF","2385","2012","0"
"newF","2400","2005","0"
"newF","2400","2006","0"
"newF","2400","2008","0"
"newF","2400","2009","0"
"newF","2400","2010","0"
"newF","2400","2011","0"
"newF","2400","2012","0"
"newF","2400","2013","0"
"newF","2400","2014","0"
"newF","2410","2005","0"
"newF","2410","2006","0"
"newF","2410","2008","0"
"newF","2410","2009","0"
"newF","2410","2010","0"
"newF","2420","2005","0"
"newF","2420","2006","0"
"newF","2420","2007","0"
"newF","2420","2008","0"
"newF","2420","2009","0"
"newF","2420","2010","0"
"newF","2420","2011","0"
"newF","2420","2012","0"
"newF","2420","2013","0"
"newF","2420","2014","0"
"newF","2420","2015","0"
"newF","2430","2005","0"
"newF","2430","2006","0"
"newF","2430","2007","0"
"newF","2430","2008","0"
"newF","2430","2009","0"
"newF","2430","2010","0"
"newF","2430","2011","0"
"newF","2430","2012","0"
"newF","2430","2013","0"
"newF","2430","2014","0"
"newF","2440","2005","0"
"newF","2440","2006","0"
"newF","2440","2007","0"
"newF","2440","2008","0"
"newF","2440","2009","0"
"newF","2440","2010","0"
"newF","2445","2005","0"
"newF","2445","2006","0"
"newF","2445","2007","0"
"newF","2445","2008","0"
"newF","2445","2009","0"
"newF","2445","2013","0"
"newF","2445","2014","0"
"newF","2450","2005","0"
"newF","2450","2006","0"
"newF","2450","2007","0"
"newF","2450","2008","0"
"newF","2450","2009","0"
"newF","2450","2010","0"
"newF","2450","2011","0"
"newF","2450","2012","0"
"newF","2450","2013","0"
"newF","2450","2014","0"
"newF","2455","2005","0"
"newF","2455","2006","0"
"newF","2455","2007","0"
"newF","2455","2008","0"
"newF","2455","2009","0"
"newF","2455","2010","0"
"newF","2455","2011","0"
"newF","2455","2012","0"
"newF","2460","2005","0"
"newF","2460","2006","0"
"newF","2460","2007","0"
"newF","2460","2008","0"
"newF","2460","2009","0"
"newF","2460","2010","0"
"newF","2460","2012","0"
"newF","2460","2013","0"
"newF","2460","2014","0"
"newF","2470","2005","0"
"newF","2470","2006","0"
"newF","2470","2007","0"
"newF","2470","2008","0"
"newF","2470","2009","0"
"newF","2470","2010","0"
"newF","2470","2011","0"
"newF","2470","2012","0"
"newF","2470","2013","0"
